Neighbourhood,Average Rent
Treasure Island,2616
Van Ness - Civic Center,3034
Tenderloin,3034
Downtown District 8 - North East,3039
Russian Hill,3053
Marina,3056
Nob Hill,3058
Hayes Valley,3080
Bernal Heights,3129
Western Addition,3140
Lower Pacific Heights,3192
Pacific Heights,3220
Telegraph Hill,3308
North Beach,3308
Silver Terrace,3311
Hunters Point,3311
Candlestick Point,3311
Bayview Heights,3311
Bayview,3311
Noe Valley,3423
Stonestown,3475
Pine Lake Park,3475
Merced Manor,3475
Merced Heights,3475
Lakeside,3475
Lake Shore,3475
Ingleside Heights,3475
Financial District - Barbary Coast,3498
North Panhandle,3615
Alamo Square,3615
Parnassus Heights,3631
Haight Ashbury,3631
Cole Valley,3631
Buena Vista,3631
Ashbury Heights,3631
Forest Knolls,3641
Midtown Terrace,3645
Glen Park,3645
Diamond Heights,3645
Outer Sunset,3648
Inner Sunset,3648
Golden Gate Heights,3648
Central Sunset,3648
Anza Vista,3655
North Waterfront,3665
Sunnyside,3773
Inner Mission,3828
Cow Hollow,3846
Mission Dolores,3851
Lone Mountain,3878
Golden Gate Park,3878
Twin Peaks,3951
Westwood Park,4002
Outer Mission,4002
Oceanview,4002
Mount Davidson Manor,4002
Mission Terrace,4002
Ingleside,4002
Excelsior,4002
Presidio Heights,4033
Lake Street,4033
Jordan Park - Laurel Heights,4033
Inner Richmond,4033
Central Richmond,4033
South of Market,4061
Potrero Hill,4061
Clarendon Heights,4112
John McLaren Park,4186
Crocker Amazon,4186
Yerba Buena,4226
Central Waterfront - Dogpatch,4277
South Beach,4403
Visitacion Valley,4475
Portola,4475
Little Hollywood,4475
Eureka Valley - Dolores Heights,4494
Duboce Triangle,4494
Corona Heights,4494
Mission Bay,4541
Presidio,4799